INDEX	KEYVALUE	LABEL	RED	GREEN	BLUE	ALPHA	HEMISPHERE	NETWORK	NETWORKKEY	NETWORKSORTEDORDER	GLASSERLABELNAME
40	40	Somatomotor-25_L-Ctx	0	255	255	255	L	Somatomotor	3	141	L_24dd_ROI
41	41	Somatomotor-26_L-Ctx	0	255	255	255	L	Somatomotor	3	142	L_24dv_ROI
42	42	Somatomotor-27_L-Ctx	0	255	255	255	L	Somatomotor	3	143	L_7AL_ROI
43	43	Cingulo-Opercular-33_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	207	L_SCEF_ROI
44	44	Cingulo-Opercular-34_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	208	L_6ma_ROI
45	45	Cingulo-Opercular-35_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	209	L_7Am_ROI
46	46	Dorsal-Attention-13_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	280	L_7PL_ROI
47	47	Somatomotor-28_L-Ctx	0	255	255	255	L	Somatomotor	3	144	L_7PC_ROI
48	48	Visual2-43_L-Ctx	100	0	255	255	L	Visual2	2	62	L_LIPv_ROI
49	49	Visual2-44_L-Ctx	100	0	255	255	L	Visual2	2	63	L_VIP_ROI
50	50	Dorsal-Attention-14_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	281	L_MIP_ROI
51	51	Somatomotor-29_L-Ctx	0	255	255	255	L	Somatomotor	3	145	L_1_ROI
52	52	Somatomotor-30_L-Ctx	0	255	255	255	L	Somatomotor	3	146	L_2_ROI
53	53	Somatomotor-31_L-Ctx	0	255	255	255	L	Somatomotor	3	147	L_3a_ROI
54	54	Somatomotor-32_L-Ctx	0	255	255	255	L	Somatomotor	3	148	L_6d_ROI
55	55	Somatomotor-33_L-Ctx	0	255	255	255	L	Somatomotor	3	149	L_6mp_ROI
56	56	Somatomotor-34_L-Ctx	0	255	255	255	L	Somatomotor	3	150	L_6v_ROI
57	57	Cingulo-Opercular-36_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	210	L_p24pr_ROI
58	58	Cingulo-Opercular-37_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	211	L_33pr_ROI
59	59	Cingulo-Opercular-38_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	212	L_a24pr_ROI
60	60	Cingulo-Opercular-39_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	213	L_p32pr_ROI
61	61	Default-44_L-Ctx	255	0	0	255	L	Default	9	478	L_a24_ROI
62	62	Default-45_L-Ctx	255	0	0	255	L	Default	9	479	L_d32_ROI
63	63	Frontoparietal-32_L-Ctx	255	255	0	255	L	Frontoparietal	7	364	L_8BM_ROI
64	64	Default-46_L-Ctx	255	0	0	255	L	Default	9	480	L_p32_ROI
65	65	Default-47_L-Ctx	255	0	0	255	L	Default	9	481	L_10r_ROI
66	66	Default-48_L-Ctx	255	0	0	255	L	Default	9	482	L_47m_ROI
67	67	Default-49_L-Ctx	255	0	0	255	L	Default	9	483	L_8Av_ROI
68	68	Default-50_L-Ctx	255	0	0	255	L	Default	9	484	L_8Ad_ROI
69	69	Default-51_L-Ctx	255	0	0	255	L	Default	9	485	L_9m_ROI
70	70	Default-52_L-Ctx	255	0	0	255	L	Default	9	486	L_8BL_ROI
71	71	Default-53_L-Ctx	255	0	0	255	L	Default	9	487	L_9p_ROI
72	72	Default-54_L-Ctx	255	0	0	255	L	Default	9	488	L_10d_ROI
73	73	Frontoparietal-33_L-Ctx	255	255	0	255	L	Frontoparietal	7	365	L_8C_ROI
74	74	Language-14_L-Ctx	0	155	155	255	L	Language	6	332	L_44_ROI
75	75	Language-15_L-Ctx	0	155	155	255	L	Language	6	333	L_45_ROI
76	76	Default-55_L-Ctx	255	0	0	255	L	Default	9	489	L_47l_ROI
77	77	Frontoparietal-34_L-Ctx	255	255	0	255	L	Frontoparietal	7	366	L_a47r_ROI
78	78	Cingulo-Opercular-40_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	214	L_6r_ROI
79	79	Language-16_L-Ctx	0	155	155	255	L	Language	6	334	L_IFJa_ROI
80	80	Frontoparietal-35_L-Ctx	255	255	0	255	L	Frontoparietal	7	367	L_IFJp_ROI
81	81	Language-17_L-Ctx	0	155	155	255	L	Language	6	335	L_IFSp_ROI
82	82	Frontoparietal-36_L-Ctx	255	255	0	255	L	Frontoparietal	7	368	L_IFSa_ROI
83	83	Frontoparietal-37_L-Ctx	255	255	0	255	L	Frontoparietal	7	369	L_p9-46v_ROI
84	84	Cingulo-Opercular-41_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	215	L_46_ROI
85	85	Frontoparietal-38_L-Ctx	255	255	0	255	L	Frontoparietal	7	370	L_a9-46v_ROI
86	86	Cingulo-Opercular-42_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	216	L_9-46d_ROI
87	87	Default-56_L-Ctx	255	0	0	255	L	Default	9	490	L_9a_ROI
88	88	Default-57_L-Ctx	255	0	0	255	L	Default	9	491	L_10v_ROI
89	89	Frontoparietal-39_L-Ctx	255	255	0	255	L	Frontoparietal	7	371	L_a10p_ROI
90	90	Default-58_L-Ctx	255	0	0	255	L	Default	9	492	L_10pp_ROI
91	91	Frontoparietal-40_L-Ctx	255	255	0	255	L	Frontoparietal	7	372	L_11l_ROI
92	92	Frontoparietal-41_L-Ctx	255	255	0	255	L	Frontoparietal	7	373	L_13l_ROI
93	93	Default-59_L-Ctx	255	0	0	255	L	Default	9	493	L_OFC_ROI
94	94	Default-60_L-Ctx	255	0	0	255	L	Default	9	494	L_47s_ROI
95	95	Dorsal-Attention-15_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	282	L_LIPd_ROI
96	96	Dorsal-Attention-16_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	283	L_6a_ROI
97	97	Frontoparietal-42_L-Ctx	255	255	0	255	L	Frontoparietal	7	374	L_i6-8_ROI
98	98	Frontoparietal-43_L-Ctx	255	255	0	255	L	Frontoparietal	7	375	L_s6-8_ROI
99	99	Cingulo-Opercular-43_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	217	L_43_ROI
100	100	Somatomotor-35_L-Ctx	0	255	255	255	L	Somatomotor	3	151	L_OP4_ROI
101	101	Somatomotor-36_L-Ctx	0	255	255	255	L	Somatomotor	3	152	L_OP1_ROI
102	102	Somatomotor-37_L-Ctx	0	255	255	255	L	Somatomotor	3	153	L_OP2-3_ROI
103	103	Auditory-09_L-Ctx	250	62	251	255	L	Auditory	8	447	L_52_ROI
104	104	Auditory-10_L-Ctx	250	62	251	255	L	Auditory	8	448	L_RI_ROI
105	105	Cingulo-Opercular-44_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	218	L_PFcm_ROI
106	106	Cingulo-Opercular-45_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	219	L_PoI2_ROI
107	107	Auditory-11_L-Ctx	250	62	251	255	L	Auditory	8	449	L_TA2_ROI
108	108	Cingulo-Opercular-46_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	220	L_FOP4_ROI
109	109	Cingulo-Opercular-47_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	221	L_MI_ROI
110	110	Orbito-Affective-04_L-Ctx	65	125	0	168	L	Orbito-Affective	12	625	L_Pir_ROI
111	111	Frontoparietal-44_L-Ctx	255	255	0	255	L	Frontoparietal	7	376	L_AVI_ROI
112	112	Orbito-Affective-05_L-Ctx	65	125	0	168	L	Orbito-Affective	12	626	L_AAIC_ROI
113	113	Cingulo-Opercular-48_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	222	L_FOP1_ROI
114	114	Cingulo-Opercular-49_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	223	L_FOP3_ROI
115	115	Somatomotor-38_L-Ctx	0	255	255	255	L	Somatomotor	3	154	L_FOP2_ROI
116	116	Dorsal-Attention-17_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	284	L_PFt_ROI
117	117	Dorsal-Attention-18_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	285	L_AIP_ROI
118	118	Default-61_L-Ctx	255	0	0	255	L	Default	9	495	L_EC_ROI
119	119	Default-62_L-Ctx	255	0	0	255	L	Default	9	496	L_PreS_ROI
120	120	Default-63_L-Ctx	255	0	0	255	L	Default	9	497	L_H_ROI
121	121	Visual1-05_L-Ctx	0	0	255	255	L	Visual1	1	2	L_ProS_ROI
122	122	Ventral-Multimodal-03_L-Ctx	255	157	0	255	L	Ventral-Multimodal	11	617	L_PeEc_ROI
123	123	Language-18_L-Ctx	0	155	155	255	L	Language	6	336	L_STGa_ROI
124	124	Auditory-12_L-Ctx	250	62	251	255	L	Auditory	8	450	L_PBelt_ROI
125	125	Language-19_L-Ctx	0	155	155	255	L	Language	6	337	L_A5_ROI
126	126	Default-64_L-Ctx	255	0	0	255	L	Default	9	498	L_PHA1_ROI
127	127	Dorsal-Attention-19_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	286	L_PHA3_ROI
128	128	Language-20_L-Ctx	0	155	155	255	L	Language	6	338	L_STSda_ROI
129	129	Language-21_L-Ctx	0	155	155	255	L	Language	6	339	L_STSdp_ROI
130	130	Default-65_L-Ctx	255	0	0	255	L	Default	9	499	L_STSvp_ROI
131	131	Default-66_L-Ctx	255	0	0	255	L	Default	9	500	L_TGd_ROI
132	132	Default-67_L-Ctx	255	0	0	255	L	Default	9	501	L_TE1a_ROI
