X,ROI_Pair,Network_Pair,Network_Pair_Index,Reproducibility_rfMRI
36871,Pair_15_273,Network_7_7,58,0.425058658
36872,Pair_16_273,Network_2_7,18,0.347792805
36873,Pair_17_273,Network_2_7,18,0.385610367
36874,Pair_18_273,Network_2_7,18,0.437543579
36875,Pair_19_273,Network_2_7,18,0.339082476
36876,Pair_20_273,Network_2_7,18,0.359556359
36877,Pair_21_273,Network_2_7,18,0.428237681
36878,Pair_22_273,Network_2_7,18,0.406166271
36879,Pair_23_273,Network_2_7,18,0.415984205
36880,Pair_24_273,Network_8_7,59,0.458411893
36881,Pair_25_273,Network_6_7,52,0.422199245
36882,Pair_26_273,Network_6_7,52,0.37934806
36883,Pair_27_273,Network_10_7,61,0.393828011
36884,Pair_28_273,Network_6_7,52,0.441884781
36885,Pair_29_273,Network_7_7,58,0.478850466
36886,Pair_30_273,Network_9_7,60,0.412431197
36887,Pair_31_273,Network_9_7,60,0.338243825
36888,Pair_32_273,Network_9_7,60,0.350873722
36889,Pair_33_273,Network_9_7,60,0.249415037
36890,Pair_34_273,Network_9_7,60,0.306520162
36891,Pair_35_273,Network_9_7,60,0.290656935
36892,Pair_36_273,Network_3_7,28,0.503401816
36893,Pair_37_273,Network_4_7,37,0.483436015
36894,Pair_38_273,Network_4_7,37,0.34558954
36895,Pair_39_273,Network_3_7,28,0.486078987
36896,Pair_40_273,Network_3_7,28,0.347654623
36897,Pair_41_273,Network_3_7,28,0.381700149
36898,Pair_42_273,Network_3_7,28,0.412631174
36899,Pair_43_273,Network_4_7,37,0.333707248
36900,Pair_44_273,Network_4_7,37,0.448093569
36901,Pair_45_273,Network_4_7,37,0.422264829
36902,Pair_46_273,Network_5_7,45,0.436528766
36903,Pair_47_273,Network_3_7,28,0.452838751
36904,Pair_48_273,Network_2_7,18,0.469565662
36905,Pair_49_273,Network_2_7,18,0.479396074
36906,Pair_50_273,Network_5_7,45,0.361605651
36907,Pair_51_273,Network_3_7,28,0.351367604
36908,Pair_52_273,Network_3_7,28,0.307461921
36909,Pair_53_273,Network_3_7,28,0.366466163
36910,Pair_54_273,Network_3_7,28,0.411455886
36911,Pair_55_273,Network_3_7,28,0.461815954
36912,Pair_56_273,Network_3_7,28,0.361068659
36913,Pair_57_273,Network_4_7,37,0.411654518
36914,Pair_58_273,Network_4_7,37,0.445999286
36915,Pair_59_273,Network_4_7,37,0.428529174
36916,Pair_60_273,Network_4_7,37,0.372554342
36917,Pair_61_273,Network_9_7,60,0.324110166
36918,Pair_62_273,Network_9_7,60,0.354916681
36919,Pair_63_273,Network_7_7,58,0.348525707
36920,Pair_64_273,Network_9_7,60,0.265074705
36921,Pair_65_273,Network_9_7,60,0.291663903
36922,Pair_66_273,Network_9_7,60,0.309821846
36923,Pair_67_273,Network_9_7,60,0.379110672
36924,Pair_68_273,Network_9_7,60,0.322296704
36925,Pair_69_273,Network_9_7,60,0.324506643
36926,Pair_70_273,Network_9_7,60,0.337064045
36927,Pair_71_273,Network_9_7,60,0.380299579
36928,Pair_72_273,Network_9_7,60,0.385115243
36929,Pair_73_273,Network_7_7,58,0.368689009
36930,Pair_74_273,Network_6_7,52,0.303807078
36931,Pair_75_273,Network_6_7,52,0.318652073
36932,Pair_76_273,Network_9_7,60,0.343099563
36933,Pair_77_273,Network_7_7,58,0.354041751
36934,Pair_78_273,Network_4_7,37,0.368808024
36935,Pair_79_273,Network_6_7,52,0.313819701
36936,Pair_80_273,Network_7_7,58,0.323442773
36937,Pair_81_273,Network_6_7,52,0.300708516
36938,Pair_82_273,Network_7_7,58,0.283757143
36939,Pair_83_273,Network_7_7,58,0.355456175
36940,Pair_84_273,Network_4_7,37,0.341665466
36941,Pair_85_273,Network_7_7,58,0.38261973
36942,Pair_86_273,Network_4_7,37,0.321283558
36943,Pair_87_273,Network_9_7,60,0.431940453
36944,Pair_88_273,Network_9_7,60,0.507086515
36945,Pair_89_273,Network_7_7,58,0.405394953
36946,Pair_90_273,Network_9_7,60,0.486062888
36947,Pair_91_273,Network_7_7,58,0.460089988
36948,Pair_92_273,Network_7_7,58,0.500637168
36949,Pair_93_273,Network_9_7,60,0.611673484
36950,Pair_94_273,Network_9_7,60,0.366208914
36951,Pair_95_273,Network_5_7,45,0.355336666
36952,Pair_96_273,Network_5_7,45,0.287947714
36953,Pair_97_273,Network_7_7,58,0.316403503
36954,Pair_98_273,Network_7_7,58,0.425011857
36955,Pair_99_273,Network_4_7,37,0.449898676
36956,Pair_100_273,Network_3_7,28,0.453342965
36957,Pair_101_273,Network_3_7,28,0.508753354
36958,Pair_102_273,Network_3_7,28,0.401123637
36959,Pair_103_273,Network_8_7,59,0.373636166
36960,Pair_104_273,Network_8_7,59,0.466428466
36961,Pair_105_273,Network_4_7,37,0.460162546
36962,Pair_106_273,Network_4_7,37,0.356097726
36963,Pair_107_273,Network_8_7,59,0.360665759
36964,Pair_108_273,Network_4_7,37,0.367244686
36965,Pair_109_273,Network_4_7,37,0.29071996
36966,Pair_110_273,Network_12_7,63,0.341488592
36967,Pair_111_273,Network_7_7,58,0.235436671
36968,Pair_112_273,Network_12_7,63,0.219283639
36969,Pair_113_273,Network_4_7,37,0.492597763
36970,Pair_114_273,Network_4_7,37,0.316548569
36971,Pair_115_273,Network_3_7,28,0.363035073
36972,Pair_116_273,Network_5_7,45,0.292536625
36973,Pair_117_273,Network_5_7,45,0.346752832
36974,Pair_118_273,Network_9_7,60,0.423711227
36975,Pair_119_273,Network_9_7,60,0.328105563
36976,Pair_120_273,Network_9_7,60,0.331310654
36977,Pair_121_273,Network_1_7,7,0.482535459
36978,Pair_122_273,Network_11_7,62,0.506826361
36979,Pair_123_273,Network_6_7,52,0.331853063
36980,Pair_124_273,Network_8_7,59,0.335733239
36981,Pair_125_273,Network_6_7,52,0.396112121
36982,Pair_126_273,Network_9_7,60,0.317172364
36983,Pair_127_273,Network_5_7,45,0.317307248
36984,Pair_128_273,Network_6_7,52,0.307699784
36985,Pair_129_273,Network_6_7,52,0.226829605
36986,Pair_130_273,Network_9_7,60,0.346230806
36987,Pair_131_273,Network_9_7,60,0.340833535
36988,Pair_132_273,Network_9_7,60,0.474442751
36989,Pair_133_273,Network_7_7,58,0.553411744
36990,Pair_134_273,Network_9_7,60,0.54258374
36991,Pair_135_273,Network_11_7,62,0.494330081
36992,Pair_136_273,Network_5_7,45,0.478128279
36993,Pair_137_273,Network_5_7,45,0.443361113
36994,Pair_138_273,Network_2_7,18,0.383357937
36995,Pair_139_273,Network_6_7,52,0.424297593
36996,Pair_140_273,Network_10_7,61,0.421201809
36997,Pair_141_273,Network_10_7,61,0.381926663
36998,Pair_142_273,Network_1_7,7,0.43901603
36999,Pair_143_273,Network_5_7,45,0.346405829
37000,Pair_144_273,Network_7_7,58,0.357569132
37001,Pair_145_273,Network_7_7,58,0.413918146
37002,Pair_146_273,Network_5_7,45,0.304935733
37003,Pair_147_273,Network_4_7,37,0.410847977
37004,Pair_148_273,Network_4_7,37,0.364673952
37005,Pair_149_273,Network_7_7,58,0.436553873
37006,Pair_150_273,Network_9_7,60,0.391307174
37007,Pair_151_273,Network_9_7,60,0.466031255
37008,Pair_152_273,Network_2_7,18,0.435958632
37009,Pair_153_273,Network_2_7,18,0.377358649
37010,Pair_154_273,Network_2_7,18,0.329743439
37011,Pair_155_273,Network_9_7,60,0.301025463
37012,Pair_156_273,Network_2_7,18,0.396052242
37013,Pair_157_273,Network_2_7,18,0.402241359
37014,Pair_158_273,Network_2_7,18,0.345919561
37015,Pair_159_273,Network_2_7,18,0.438760016
37016,Pair_160_273,Network_2_7,18,0.32184483
37017,Pair_161_273,Network_9_7,60,0.303249828
37018,Pair_162_273,Network_9_7,60,0.379092152
37019,Pair_163_273,Network_2_7,18,0.414796756
37020,Pair_164_273,Network_9_7,60,0.507095067
37021,Pair_165_273,Network_9_7,60,0.444417426
37022,Pair_166_273,Network_12_7,63,0.627350585
37023,Pair_167_273,Network_4_7,37,0.3724715
37024,Pair_168_273,Network_3_7,28,0.307602188
37025,Pair_169_273,Network_4_7,37,0.307001551
37026,Pair_170_273,Network_7_7,58,0.412280957
37027,Pair_171_273,Network_7_7,58,0.255923766
37028,Pair_172_273,Network_6_7,52,0.539350965
37029,Pair_173_273,Network_8_7,59,0.385238817
37030,Pair_174_273,Network_8_7,59,0.446921674
37031,Pair_175_273,Network_8_7,59,0.500993402
